站点,type,description,匹配辅助列,取值字段,中文意思,账单字段序列,维度,绩效表对应维度
DE,Erstattung durch Rückbuchung,,Erstattung durch Rückbuchung,Steuer auf Versandgutschrift,运费税-客户拒付,42,订单,税费
DE,Erstattung durch Rückbuchung,,Erstattung durch Rückbuchung,Gutschrift für Geschenkverpackung,包装收入-客户拒付,15,订单,订单金额
DE,Erstattung durch Rückbuchung,,Erstattung durch Rückbuchung,Steuer auf Geschenkverpackungsgutschriften,包装税-客户拒付,42,订单,税费
DE,Erstattung durch Rückbuchung,,Erstattung durch Rückbuchung,Rabatte aus Werbeaktionen,折扣金额-客户拒付,15,订单,订单金额
DE,Erstattung durch Rückbuchung,,Erstattung durch Rückbuchung,Steuer auf Aktionsrabatte,折扣税-客户拒付,42,订单,税费
DE,Erstattung durch Rückbuchung,,Erstattung durch Rückbuchung,Einbehaltene Steuer auf Marketplace,平台代扣代缴税额-客户拒付,43,订单,税费
DE,Erstattung durch Rückbuchung,,Erstattung durch Rückbuchung,Verkaufsgebühren,佣金-客户拒付,15,订单,平台佣金
DE,Erstattung durch Rückbuchung,,Erstattung durch Rückbuchung,Gebühren zu Versand durch Amazon,运费-客户拒付,15,订单,尾程派送费
DE,Erstattung durch Rückbuchung,,Erstattung durch Rückbuchung,Andere Transaktionsgebühren,其他交易费用-客户拒付,15,订单,弃置费/退货手续费/移除费
DE,Erstattung durch Rückbuchung,,Erstattung durch Rückbuchung,Andere,其他-客户拒付,15,订单,售后费用
DE,Erstattung_Wiedereinzug,,Erstattung_Wiedereinzug,Gesamt,退款追加费-商品税,42,多维度费用,税费
DE,Erstattung_Wiedereinzug,,Erstattung_Wiedereinzug,Gesamt,退款追加费-运费税,42,多维度费用,税费
DE,Erstattung_Wiedereinzug,,Erstattung_Wiedereinzug,Gesamt,退款追加费-平台代扣代缴税额,43,多维度费用,税费
DE,Gebühren von Amazon,Coupon-Teilnahmegebühr,Gebühren von Amazon/Coupon-Teilnahmegebühr,Gesamt,优惠活动报名费,33,单维度费用,推广费
