站点,二维匹配数据列-1,二维匹配数据列-2,中文意思,账单字段序列,维度,绩效表对应维度
JP,FBA弃置费,其他,FBA弃置费,29,单维度费用,弃置费/退货手续费/移除费
JP,FBA仓储费-取消,其他,FBA仓储费-取消,29,单维度费用,仓储费
JP,FBA仓储费-调整,其他,FBA仓储费-调整,29,单维度费用,仓储费
JP,FBA库存赔偿-客户退货,其他,FBA库存赔偿-客户退货,5,单维度费用,索赔
JP,FBA库存赔偿-仓库遗失,其他,FBA库存赔偿-仓库遗失,5,单维度费用,索赔
JP,FBA库存赔偿-出运丢失,其他,FBA库存赔偿-出运丢失,46,单维度费用,索赔
JP,客户货款追回,其他,客户货款追回,46,单维度费用,售后费用
JP,FBA库存赔偿-仓库遗失,其他,FBA库存赔偿-仓库遗失,5,单维度费用,索赔
JP,商品销售收入-退货,商品销售收入,商品销售收入-退货,4,订单,退款金额
JP,商品销售收入-退货,商品销售税,商品销售税-退货,42,订单,税费
JP,商品销售收入-退货,运费销售收入,运费销售收入-退货,9,订单,退款金额
JP,商品销售收入-退货,运费税,运费税-退货,42,订单,税费
JP,商品销售收入-退货,包装收入,包装收入-退货,11,订单,退款金额
JP,商品销售收入-退货,包装税,包装税-退货,42,订单,税费
JP,商品销售收入-退货,亚马逊积分费用,亚马逊积分费用-退货,45,订单,弃置费/退货手续费/移除费
JP,商品销售收入-退货,折扣金额,折扣金额-退货,13,订单,退款金额
JP,商品销售收入-退货,折扣税,折扣税-退货,42,订单,税费
JP,商品销售收入-退货,平台代扣代缴税额,平台代扣代缴税额-退货,43,订单,税费
JP,商品销售收入-退货,佣金,佣金-退货,24,订单,平台佣金
JP,商品销售收入-退货,运费,运费-退货,26,订单,尾程派送费
JP,商品销售收入-退货,其他交易费用,其他交易费用-退货,28,订单,弃置费/退货手续费/移除费
JP,商品销售收入-退货,其他,其他-退货-日本,46,订单,售后费用
JP,提现金额,其他,提现金额,18,单维度费用,
JP,商品销售收入,商品销售收入,商品销售收入,3,订单,订单金额
JP,商品销售收入,商品销售税,商品销售税,41,订单,税费
JP,商品销售收入,运费销售收入,运费销售收入,8,订单,订单金额
JP,商品销售收入,运费税,运费税,41,订单,税费
JP,商品销售收入,包装收入,包装收入,10,订单,订单金额
JP,商品销售收入,包装税,包装税,41,订单,税费
JP,商品销售收入,亚马逊积分费用,亚马逊积分费用,44,订单,弃置费/退货手续费/移除费
JP,商品销售收入,折扣金额,折扣金额,12,订单,订单金额
JP,商品销售收入,折扣税,折扣税,41,订单,税费
JP,商品销售收入,平台代扣代缴税额,平台代扣代缴税额,43,订单,税费
JP,商品销售收入,佣金,佣金,23,订单,平台佣金
JP,商品销售收入,运费,运费,25,订单,尾程派送费
JP,商品销售收入,其他交易费用,其他交易费用,27,订单,弃置费/退货手续费/移除费
JP,商品销售收入,其他,其他,25,订单,售后费用
JP,广告费,其他交易费用,广告费,36,单维度费用,广告费
JP,店铺月租,其他,店铺月租,33,单维度费用,弃置费/退货手续费/移除费
JP,优惠活动服务费,其他交易费用,优惠活动服务费,33,单维度费用,推广费
NL,FBA库存赔偿-客户退货,其他,FBA库存赔偿-客户退货,5,单维度费用,索赔
NL,商品销售收入,商品销售收入,商品销售收入,3,订单,订单金额
NL,商品销售收入,运费销售收入,运费销售收入,8,订单,订单金额
NL,商品销售收入,包装收入,包装收入,10,订单,订单金额
NL,商品销售收入,折扣金额,折扣金额,12,订单,订单金额
NL,商品销售收入,已收取的销售税,已收取的销售税,41,订单,税费
NL,商品销售收入,平台代扣代缴税额,平台代扣代缴税额,43,订单,税费
NL,商品销售收入,佣金,佣金,23,订单,平台佣金
NL,商品销售收入,运费,运费,25,订单,尾程派送费
NL,商品销售收入,其他交易费用,其他交易费用,27,订单,弃置费/退货手续费/移除费
NL,商品销售收入,其他,其他,25,订单,售后费用
NL,提现金额,其他,提现金额,18,单维度费用,
NL,广告费,其他交易费用,广告费,36,单维度费用,广告费
NL,商品销售收入-退货,商品销售收入,商品销售收入-退货,4,订单,退款金额
NL,商品销售收入-退货,运费销售收入,运费销售收入-退货,9,订单,退款金额
NL,商品销售收入-退货,包装收入,包装收入-退货,11,订单,退款金额
NL,商品销售收入-退货,折扣金额,折扣金额-退货,13,订单,退款金额
NL,商品销售收入-退货,已收取的销售税,已收取的销售税-退货,42,订单,税费
NL,商品销售收入-退货,平台代扣代缴税额,平台代扣代缴税额-退货,43,订单,税费
NL,商品销售收入-退货,佣金,佣金-退货,24,订单,平台佣金
NL,商品销售收入-退货,运费,运费-退货,26,订单,尾程派送费
NL,商品销售收入-退货,其他交易费用,其他交易费用-退货,28,订单,弃置费/退货手续费/移除费
NL,商品销售收入-退货,其他,其他-退货,4,订单,售后费用
PL,广告费,其他交易费用,广告费,36,单维度费用,广告费
PL,提现金额,其他,提现金额,18,单维度费用,
PL,商品销售收入,商品销售收入,商品销售收入,3,订单,订单金额
PL,商品销售收入,运费销售收入,运费销售收入,8,订单,订单金额
PL,商品销售收入,包装收入,包装收入,10,订单,订单金额
PL,商品销售收入,折扣金额,折扣金额,12,订单,订单金额
PL,商品销售收入,已收取的销售税,已收取的销售税,41,订单,税费
PL,商品销售收入,平台代扣代缴税额,平台代扣代缴税额,43,订单,税费
PL,商品销售收入,佣金,佣金,23,订单,平台佣金
PL,商品销售收入,运费,运费,25,订单,尾程派送费
PL,商品销售收入,其他交易费用,其他交易费用,27,订单,弃置费/退货手续费/移除费
