SELLERSKU,ASIN,FNSKU,站点,账号,首单时间,仓库SKU,产品ID,一级大类,二级类目,三级类目,最新采购价
DKSG70K1G-EU,B0DKT48WKS,X00261WC41,IT,amazon亚马逊欧洲_IT,2025/6/1,DKSG70K1G,DKSG70K1G,动力工具,喷雾工具,喷枪,110
DKSG70K1G-EU,B0DKT48WKS,X00261WC41,FR,amazon亚马逊欧洲_FR,2025/6/1,DKSG70K1G,DKSG70K1G,动力工具,喷雾工具,喷枪,110
DKSG70K1R-BS-UK,B0DKT27D2S,X0025X12V9,UK,amazon亚马逊欧洲_UK,2025/6/15,DKSG70K1R-BS,DKSG70K1R-BS,动力工具,喷雾工具,喷枪,113
DKSG70K1R-EU,B0DKT27D2S,,ES,amazon亚马逊欧洲_ES,2025/6/1,DKSG70K1R,DKSG70K1R,动力工具,喷雾工具,喷枪,110
DKSG70K1R-EU,B0DKT27D2S,,DE,amazon亚马逊欧洲_DE,2025/6/1,DKSG70K1R,DKSG70K1R,动力工具,喷雾工具,喷枪,110
DKSG70K1R-EU,B0DKT27D2S,,IT,amazon亚马逊欧洲_IT,2025/6/1,DKSG70K1R,DKSG70K1R,动力工具,喷雾工具,喷枪,110
dkspwy01,B0DLGXRYX3,X004KPJWN3,CA,amazon老站_CA_CA,2025/6/5,DKSG100K1-AMZG-US,DKSG100K1-AMZG-US,动力工具,喷雾工具,喷枪,120
DKUS02-MMA-160A-EU1,B09BQHZBRH,X001FJKUVR,ES,amazon亚马逊欧洲_ES,2025/6/5,DKUS02-MMA-160A-EU,DKUS02-MMA-160A-EU,机械设备,焊机,手工焊机,200
DKUS-MMA160A,B07NWFB2S9,X0022F8JFF,US,amazon老站_US,2025/6/1,DKUS-MMA-160AM,DKUS-MMA-160AM,机械设备,焊机,手工焊机,380
DKUS-MMA-160A,B07NWFB2S9,X002L242XH,US,amazonGulin_US,2025/6/1,DKUS-MMA-160AM,DKUS-MMA-160AM,机械设备,焊机,手工焊机,380
DL-9MT3-U6V9,B0D1VBK86T,X004RTQ73F,CA,amazon丰平站_CA,2025/9/12,DKMT133,DKMT133,多品组套,多类混合套装,多类混合套装,156.76
